country,top_inventor,patent_count
NO,Trond Austrheim,147
NO,Jo Klaveness,120
NP,Hans Hede,18
NP,Kristian Englund,3
NP,Shubham Jaiswal,3
NZ,Masahiro Kimura,158
NZ,Andrew Paul Maxwell Salmon,118
NZ,Craig Robert Prentice,103
OM,Mohammadali Shahriari,33
OM,Daniel Palmer,15
OM,Riadh Zaier,6
PA,Roberto Villa,34
PA,Gustavo Nunez,22
PA,Julio Toro Silva,15
PE,Arto Lehtiniemi,293
PE,Jari Vikberg,249
PE,Hiroshi Fujimoto,181
PG,Nicholas A. Rounds,6
PG,Saif Uddin,2
PG,Alan R. McNeill,1
PH,Jonathan Almeria Noquil,66
PH,Jefferson Talledo,54
PH,Vijay Phadke,53
PK,Muhammad Hassan,35
PK,Ahmad Hassan,31
PK,Muhammad Iqbal Choudhary,22
PL,Rafal R. Sicinski,99
PL,Jerzy Tyszer,83
PL,Sylwester Klus,65
PN,Herbert R. Appell,2
PS,Ismail Khalil Warad,4
PS,Moshe Koppel,3
PS,Anas Al-Ali,2
PT,Tomas Nylander,143
PT,Hugo Miguel Rodrigues Marques,54
PT,Carlos Aguiar,51
PW,"Clifford B. Terry, III",1
PW,Navot Bornovski,1
PY,Teodor Atroshenko,4
PY,Hazael Fabrizio Montanaro Ochoa,3
PY,Siegfried Konther,3
QA,Gordon McKay,18
QA,Marco Stura,18
QA,Junaid Saleem,17
RO,Florin Nanu,66
RO,Adrian Zamfir,63
RO,Mihai Ciuc,61
RS,Aleksandar Uzelac,28
RS,Goran Predovic,21
RS,Goran Drinic,18
RU,Alexei Davydov,471
RU,Stanislav Protasov,254
RU,Alexander Maltsev,252
RW,Gilles Richard Mulihano,1
RW,Stephen Rulisa,1
SA,Omer Refa Koseoglu,394
SA,Mai Mostafa Khalaf Ali,320
SA,Hany Mohamed Abd El-Lateef Ahmed,300
SB,Karl-Heinz Schwiemann,1
SC,Mark Clifton Tolley,6
SC,James Andrew Gulliver,4
SC,David H. Guest,3
SD,Mohammed Abdeen Mohammed Hassan,2
SD,Mohamed Khalifa,2
SD,Abdallah A. Abdallah,1
SE,Muhammad Kazmi,654
SE,Robert Baldemair,643
SE,Stefan Parkvall,564
SG,Lei Wang,851
SG,Serguei M. Beloussov,415
SG,Chong Soon Lim,378
SI,Igor Akrapovic,75
SI,Ermin Kosovel,53
SI,Joze Pececnik,40
SK,Jaromir Pastorek,38
SK,Silvia Pastorekova,38
SK,Peter Psenak,35
SL,Carl-Gustav Berg,3
SL,Abdulla Firag,2
