patent_id,title,filing_date,year,inventor_name,inventor_country,company_name
12507847,Blowing-suction machine and method for using blowing-suction machine for cleaning,2025-09-08,2025,Gan Chen,CN,
12507847,Blowing-suction machine and method for using blowing-suction machine for cleaning,2025-09-08,2025,Tengzhuang Lin,CN,
12507847,Blowing-suction machine and method for using blowing-suction machine for cleaning,2025-09-08,2025,,,"Zhejiang Feihu New Energy Technology Co., Ltd."
D1107687,Sound attenuator,2025-09-08,2025,Natan Bauman,US,
D1107687,Sound attenuator,2025-09-08,2025,Ralph T. Campagna,US,
D1107687,Sound attenuator,2025-09-08,2025,Thomas Zachary Worcester,US,
D1107687,Sound attenuator,2025-09-08,2025,,,"Unplugs Hearing, Inc."
12472542,Manual high-pressure parts washer,2025-09-05,2025,Sang Bae Jeon,KR,
12472542,Manual high-pressure parts washer,2025-09-05,2025,Jae Keun Lee,KR,
12472542,Manual high-pressure parts washer,2025-09-05,2025,,,HI-TECH DIESEL CORP.
12472542,Manual high-pressure parts washer,2025-09-05,2025,,,
12480430,Hydraulic cleaning apparatus for particulate matter reduction device with rapid drying and differential pressure measurement capability,2025-09-05,2025,Jae Keun Lee,KR,
12480430,Hydraulic cleaning apparatus for particulate matter reduction device with rapid drying and differential pressure measurement capability,2025-09-05,2025,Sang Bae Jeon,KR,
